id,tags
64db3d304e,toddler-friendly
64db52cba6,lactose
64db52cba6,60-minutes-or-less
64db52cba6,cuisine
64db52cba6,occasion
64db52cba6,main-dish
64db52cba6,beef
64db52cba6,vegetables
64db52cba6,african
64db52cba6,easy
64db52cba6,moroccan
64db52cba6,stove-top
64db52cba6,one-dish-meal
64db52cba6,inexpensive
64db52cba6,egg-free
64db52cba6,ground-beef
64db52cba6,free-of-something
64db52cba6,meat
64db52cba6,green-yellow-beans
64db52cba6,taste-mood
64db52cba6,savory
64dbaa4991,60-minutes-or-less
64dbaa4991,cuisine
64dbaa4991,occasion
64dbaa4991,north-american
64dbaa4991,soups-stews
64dbaa4991,beef
64dbaa4991,dinner-party
64dbaa4991,meat
64dbaa4991,brunch
64dbaa4991,number-of-servings
64dbaeb375,15-minutes-or-less
64dbaeb375,cuisine
64dbaeb375,appetizers
64dbaeb375,eggs-dairy
64dbaeb375,mexican
64dbaeb375,easy
64dbaeb375,dips
64dbaeb375,cheese
64dbbd87ec,weeknight
64dbbd87ec,occasion
64dbbd87ec,main-dish
64dbbd87ec,beef
64dbbd87ec,oven
64dbbd87ec,easy
64dbbd87ec,comfort-food
64dbbd87ec,meat
64dbbd87ec,taste-mood
64dbbd87ec,4-hours-or-less
64dbc74e11,30-minutes-or-less
64dbc74e11,cuisine
64dbc74e11,occasion
64dbc74e11,north-american
64dbc74e11,main-dish
64dbc74e11,poultry
64dbc74e11,easy
64dbc74e11,holiday-event
64dbc74e11,one-dish-meal
64dbc74e11,meat
64dbc74e11,goose
64dbc74e11,presentation
64dbc74e11,served-hot
64dbc74e11,3-steps-or-less
64dbd47714,15-minutes-or-less
64dbd47714,for-1-or-2
64dbd47714,5-ingredients-or-less
64dbd47714,beverages
64dbd47714,easy
64dbd47714,cocktails
64dbd47714,number-of-servings
64dbd47714,3-steps-or-less
64dc0d6e95,60-minutes-or-less
64dc0d6e95,occasion
64dc0d6e95,5-ingredients-or-less
64dc0d6e95,desserts
64dc0d6e95,fruit
64dc0d6e95,easy
64dc0d6e95,beginner-cook
64dc0d6e95,diabetic
64dc0d6e95,dinner-party
